order_id,customer_id,branch_id,rating,payment_method,date,time
O0000000001,C0000001749,B206,4,Credit Card,2024-06-17,15:44:39.155040
O0000000002,C0000001094,B122,5,Mobile Payment,2024-04-24,07:25:56.987313
O0000000003,C0000000059,B233,1,Credit Card,2023-09-23,9:59:30.723570
O0000000004,C0000000619,B158,5,Credit Card,2023-06-13,17:33:55.262507
O0000000005,C0000000673,B231,3,Cash,2023-11-20,07:35:18.485241
O0000000006,C0000000573,B130,3,Cash,2023-09-14,18:39:47.682681
O0000000007,C0000001011,B164,1,Cash,2024-05-10,15:40:05.860489
O0000000008,C0000000603,B159,2,Credit Card,2023-07-11,19:21:38.324713
O0000000009,C0000000551,B004,1,Cash,2023-10-29,09:17:09.213813
O0000000010,C0000001132,B078,5,Credit Card,2024-01-04,8:57:26.239851
O0000000011,C0000001561,B120,5,Mobile Payment,2024-07-28,13:22:46.432756
O0000000012,C0000000688,B010,2,Mobile Payment,2023-11-16,11:36:17.255355
O0000000013,C0000000038,B134,4,Cash,2023-06-28,15:26:15.149980
O0000000014,C0000000376,B222,3,Credit Card,2024-04-22,7:47:56.569951
O0000000015,C0000001894,B185,5,Credit Card,2024-01-27,19:57:08.726457
O0000000016,C0000001061,B097,1,Cash,2023-06-08,09:55:15.724539
O0000000017,C0000001845,B126,2,Credit Card,2024-07-29,07:10:08.916575
O0000000018,C0000000451,B221,5,Mobile Payment,2024-09-13,11:40:53.002626
O0000000019,C0000000388,B135,2,Mobile Payment,2024-05-27,08:37:21.553797
O0000000020,C0000002291,B103,3,Cash,2024-07-24,12:07:23.740665
O0000000021,C0000000946,B189,5,Credit Card,2023-07-16,8:05:33.675343
O0000000022,C0000001306,B173,3,Credit Card,2024-04-06,12:36:59.419184
O0000000023,C0000000760,B028,4,Credit Card,2024-07-22,09:37:10.236222
O0000000024,C0000001959,B091,3,Cash,2024-03-08,12:47:12.140016
O0000000025,C0000000710,B010,5,Credit Card,2023-10-26,13:41:02.960618
O0000000026,C0000000658,B111,2,Cash,2023-03-05,16:20:12.207335
O0000000027,C0000002179,B149,1,Credit Card,2023-10-02,13:24:07.876204
O0000000028,C0000000943,B007,5,Mobile Payment,2024-01-22,07:23:53.400710
O0000000029,C0000001514,B208,3,Cash,2024-07-31,08:43:07.654792
O0000000030,C0000001156,B072,5,Cash,2024-09-03,17:07:55.015710
O0000000031,C0000001534,B034,1,Mobile Payment,2023-10-29,15:33:04.592540
O0000000032,C0000001807,B138,1,Mobile Payment,2024-07-01,21:45:41.119589
O0000000033,C0000000399,B040,2,Cash,2023-06-14,17:28:39.144362
O0000000034,C0000001700,B056,5,Cash,2024-05-24,10:51:47.799594
O0000000035,C0000001442,B161,3,Cash,2023-12-13,10:34:45.509763
O0000000036,C0000002080,B224,1,Mobile Payment,2023-01-09,17:06:36.413987
O0000000037,C0000000259,B169,4,Mobile Payment,2024-03-31,17:55:07.110167
O0000000038,C0000000456,B148,4,Cash,2023-09-10,15:55:23.072978
O0000000039,C0000000304,B192,1,Mobile Payment,2024-06-05,14:37:37.490983
O0000000040,C0000001867,B215,2,Cash,2024-02-27,12:31:28.460164
O0000000041,C0000000757,B105,5,Credit Card,2023-01-01,17:20:40.222311
O0000000042,C0000001410,B109,3,Cash,2023-11-09,14:00:15.370800
O0000000043,C0000000578,B022,5,Cash,2024-07-02,15:33:35.447407
O0000000044,C0000002237,B081,5,Credit Card,2023-06-04,20:49:19.312215
O0000000045,C0000002295,B171,1,Credit Card,2023-07-25,15:36:31.743042
O0000000046,C0000001821,B189,5,Cash,2024-07-04,11:05:39.320134
O0000000047,C0000000559,B142,5,Credit Card,2023-05-01,19:48:53.251617
O0000000048,C0000000807,B073,5,Credit Card,2023-12-25,15:04:46.037824
O0000000049,C0000001087,B015,5,Cash,2023-05-31,19:27:39.207597
O0000000050,C0000001166,B099,2,Credit Card,2024-09-03,20:18:19.557723
O0000000051,C0000000791,B160,3,Credit Card,2024-05-22,18:48:39.072583
O0000000052,C0000001836,B076,1,Credit Card,2023-10-11,21:48:34.818434
O0000000053,C0000001754,B112,5,Mobile Payment,2023-02-20,20:55:18.429592
O0000000054,C0000000043,B178,2,Mobile Payment,2023-07-22,09:27:04.395658
O0000000055,C0000000423,B094,4,Credit Card,2023-11-18,16:59:14.409219
O0000000056,C0000001101,B197,4,Mobile Payment,2024-08-12,10:34:04.452787
O0000000057,C0000001451,B145,2,Mobile Payment,2023-03-10,9:09:53.855311
O0000000058,C0000000374,B084,2,Mobile Payment,2023-12-15,14:33:10.178451
O0000000059,C0000000172,B101,4,Cash,2024-03-22,19:26:37.870581
O0000000060,C0000001350,B050,5,Mobile Payment,2023-12-13,12:28:50.714574
O0000000061,C0000000969,B146,5,Mobile Payment,2024-05-30,13:07:08.453049
O0000000062,C0000000150,B201,4,Credit Card,2023-12-08,15:51:17.054888
