order_id,product_id,quantity
O0000017793,12,3
O0000017273,19,2
O0000042261,17,1
O0000034379,23,5
O0000034346,18,5
O0000004503,6,3
O0000038970,6,5
O0000012175,1,1
O0000009933,23,4
O0000003805,14,3
O0000025417,20,3
O0000031004,23,4
O0000022082,17,1
O0000022262,12,3
O0000013947,18,2
O0000006312,15,4
O0000003627,22,3
O0000021585,6,1
O0000032246,24,3
O0000006341,2,2
O0000034617,24,1
O0000031073,9,3
O0000042127,13,5
O0000023801,17,5
O0000015640,10,4
O0000015348,9,1
O0000004109,17,4
O0000004064,3,5
O0000042478,13,4
O0000003233,13,4
O0000025247,15,3
O0000031854,3,4
O0000030860,3,4
O0000031645,2,4
O0000019562,5,2
O0000019044,20,2
O0000002905,13,4
O0000034263,2,2
O0000016664,7,4
O0000011648,8,1
O0000002614,10,3
O0000014315,17,3
O0000028621,7,2
O0000016006,10,2
O0000014130,12,5
O0000011931,23,5
O0000024632,17,4
O0000006858,18,1
O0000005401,7,5
O0000029021,21,4
O0000020447,24,4
O0000041126,8,2
O0000016973,5,2
O0000038555,4,5
O0000021062,3,3
O0000004210,14,2
O0000040118,24,5
O0000036660,23,2
O0000037934,2,1
O0000017163,15,2
O0000032964,9,3
O0000029418,11,2
O0000001047,22,2
O0000026996,6,3
O0000005312,23,2
O0000009940,11,2
O0000013202,18,2
O0000027128,6,5
O0000022784,14,2
O0000016949,16,4
O0000013211,20,5
O0000024162,23,4
O0000006272,24,2
O0000009742,4,4
O0000037229,6,3
O0000040965,16,3
O0000036845,7,1
O0000031736,7,3
O0000021881,17,1
O0000014728,16,3
O0000024641,12,4
O0000029962,11,4
O0000007507,16,2
O0000005011,21,1
O0000011571,2,3
O0000021084,23,2
O0000024941,18,2
O0000018900,6,2
O0000002278,11,2
O0000034972,20,2
O0000041985,13,5
O0000042510,8,5
O0000000773,17,5
O0000025410,7,4
O0000003792,12,4
O0000040587,3,5
O0000025702,1,4
O0000012135,5,1
O0000020663,4,2
O0000015993,11,5
O0000028164,23,2
O0000033882,10,4
O0000000778,7,1
O0000006378,2,2
O0000036399,11,4
O0000031014,5,2
O0000009063,15,5
O0000006435,20,3
O0000011405,7,5
O0000001889,8,4
O0000004804,20,2
O0000005136,3,5
O0000007697,14,2
O0000036140,2,1
O0000039216,24,2
O0000033754,12,4
O0000032599,2,2
O0000011987,2,3
O0000027594,5,2
O0000011728,4,1
O0000002738,14,2
O0000021024,16,2
O0000010157,19,2
O0000040721,23,4
O0000027544,22,5
O0000014206,1,1
O0000013502,4,5
O0000019144,22,5
O0000021646,1,5
O0000002463,19,2
O0000035067,20,2
O0000031579,15,4
O0000003868,10,3
O0000036170,22,2
O0000004037,6,1
O0000002964,13,2
O0000026563,14,4
O0000004387,24,3
O0000025279,21,3
O0000017830,3,1
O0000012987,23,1
O0000005955,9,2
O0000024398,14,1
O0000036331,9,3
O0000037793,1,4
O0000034966,7,1
O0000041147,19,3
O0000038423,24,5
O0000018230,6,2
O0000023730,24,4
O0000017550,20,2
O0000038227,17,3
O0000031851,4,4
O0000014832,7,1
O0000008936,5,3
O0000021862,14,1
O0000033199,8,4
O0000037395,20,1
O0000023460,22,5
O0000040872,9,2
O0000009341,1,1
O0000040914,21,1
O0000027598,24,3
O0000023200,18,1
O0000009023,8,3
O0000007394,8,2
O0000036702,14,5
O0000032838,1,5
O0000019342,2,1
O0000031216,19,5
O0000029361,24,3
O0000028206,22,1
O0000036594,3,1
O0000011123,22,1
O0000042119,19,2
O0000001661,3,4
O0000004178,23,2
O0000005692,16,5
O0000019363,19,3
O0000034148,2,4
O0000038720,21,3
O0000018287,19,2
O0000034567,8,3
O0000015060,7,1
O0000031993,22,1
O0000040669,21,2
O0000011325,21,3
O0000034898,7,4
O0000039909,18,3
O0000040436,8,1
O0000016614,2,2
O0000011931,1,3
O0000000896,14,1
O0000027997,14,5
O0000018359,11,4
O0000023856,14,4
O0000022243,13,2
O0000017180,4,2
O0000028201,3,1
O0000013920,13,3
O0000007844,1,4
O0000005771,22,3
O0000007217,21,5
O0000002137,12,2
O0000039752,23,4
O0000032374,20,3
O0000027969,22,1
O0000017895,5,5
O0000005452,23,4
O0000027564,4,3
O0000028522,7,3
O0000003286,8,5
O0000014311,12,5
O0000003606,8,2
O0000002010,9,2
O0000033234,18,5
O0000007702,20,3
O0000010060,23,2
O0000040300,7,4
O0000035066,18,5
O0000017018,18,2
O0000040797,9,3
O0000010757,12,2
O0000012485,2,4
O0000030974,19,1
O0000011422,10,5
O0000016270,2,4
O0000014076,22,3
O0000030128,10,4
O0000024343,20,3
O0000017890,1,4
O0000007208,24,4
O0000009007,22,3
O0000001465,10,1
O0000018712,9,2
O0000035002,12,2
O0000037591,16,2
O0000042568,1,2
O0000020458,12,3
O0000037484,10,5
O0000024544,13,1
O0000011465,8,2
O0000027703,5,3
O0000000491,20,3
O0000014867,8,4
O0000022782,2,1
O0000023170,15,2
O0000003568,23,5
O0000032981,11,2
O0000015812,13,2
O0000019422,17,2
O0000028959,7,2
O0000028645,9,2
O0000026872,12,5
O0000012530,23,2
O0000027461,9,3
O0000023541,3,4
O0000009489,10,4
O0000004517,8,2
O0000016156,2,5
O0000028689,17,5
O0000022258,15,2
O0000019214,3,4
O0000032602,9,3
O0000033894,8,5
O0000003855,8,1
O0000004681,3,1
O0000019478,7,1
O0000001496,12,5
O0000018429,3,2
O0000014029,18,1
O0000040985,19,2
O0000027258,23,5
O0000003878,9,2
O0000009686,17,5
O0000019421,22,1
O0000005194,8,4
O0000037389,17,4
O0000018930,5,5
O0000010029,17,4
O0000015283,17,2
O0000011608,12,4
O0000033247,13,3
O0000008072,24,2
O0000042624,4,3
O0000008299,7,4
O0000039386,21,4
O0000022414,17,1
O0000026716,15,1
O0000027202,1,3
O0000024715,17,4
O0000031336,18,3
O0000034447,17,2
O0000018689,3,1
O0000039140,15,3
O0000014457,8,3
